Food Item,Breakfast,Lunch,Dinner,Fish,Soybeans,Wheat,Gluten,Milk,Tree Nuts,Eggs,Sesame,Crustacean Shellfish,Gluten Friendly,Less Sodium,Smart Check,Vegan,Vegetarian,Contains Nuts
Crush and Fry Potato,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Honey Glazed Carrots,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mujaddara,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coconut Custard Pie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cage Free Boiled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corned Beef Hash,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Country Style Hash Browns,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Toast Stix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omelet Bar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs with American Cheese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan French Toast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cranberry Orange Bread,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spinach Calzone,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boneless Chinese BBQ Pork,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo Wings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omelet Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teriyaki Chicken Wings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitney Clam Chowder,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baked Tater Tots,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fresh Steamed Green beans,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garlic Parmesan Butter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jasmine Rice,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Brownies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oatmeal Raisin Cookies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outback Chicken with Apple Smoked Bacon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheese Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macaroni & Cheese,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pepperoni Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Lentil Pasta w/ Roasted Vegetables,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross Trax French Fries,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fried Calamari With Banana Peppers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinara Sauce,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roasted Cauliflower,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peach Bread Pudding,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applewood Bacon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cage Free Boiled Eggs,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Country Style Hash Browns,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Toast,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omelet Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs with American Cheese,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan French Toast,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheese Ravioli with Sauce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zesty Fried Chicken Tenders,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cream of Broccoli Soup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blueberry Muffin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Chocolate Chip Cookie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Fajitas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chimichurri Basted Scrod,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Plant-based Steak Fajita,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexican Fiesta Rice,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer Salsa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruit of the Forest Pie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cage Free Boiled Eggs,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Chip Pancakes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O'Brien Potatoes,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Omelet Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant Based Pancakes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant-Based Breakfast Sausage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sausage Patties,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs with American Cheese,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheese Lasagna,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grilled Chicken Breast,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomato Soup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Assorted  Scones 1.8 oz.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S'mores Cookies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan Sloppy Joe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBQ Pork Chops,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Vegetable Lasagna,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baby Carrots Fresh Steamed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Petite Potatoes w/ Parsley,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Confetti Cake,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian Waffle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breakfast Potatoes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cage Free Boiled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corned Beef Hash,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omelet Bar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant Based Pancakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs with American Cheese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banana Bread,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korean BBQ Chicken,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""BLT"" Panini",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crispy Orange Ginger Tofu,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imperial Shrimp & Vegetables,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mac & Cheese Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnocchi Sausage Soup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edamame Fried Rice,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steamed Broccoli,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Chip Cookie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon Bars,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dairy Free Tofu Baked Ziti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grilled Kielbasa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Potato & Cheese Pierogi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuffed Beef Cabbage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braised Red Cabbage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon Dill Potato,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Pie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cage Free Boiled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Toast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fried Hash Brown Patties,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs with American Cheese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan French Toast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pina Colada Muffin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet & Sour Tofu,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coconut Green Chili Chicken,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curry Potato Enchilada,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasta Primavera,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegetarian Lentil Soup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corn, Edamame and Cumin Saute",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Vegetable Samosas w/ Chutney,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M & M Cookies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snickerdoodle Cookies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baked Scrod Florentine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eggplant Parmesan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grilled Steak Toscano,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penne w/Tomato Pesto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Italian Style Zucchini,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashed Red Potatoes,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Midnight Choc Cake w/ Chocolate Frosting,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cage Free Boiled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Toast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O'Brien Potatoes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Omelet Bar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pork Sausage Links,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs with American Cheese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan French Toast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blueberry Coffee Cake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBQ Tempeh & Peppers,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Grilled Mojito & Lime Chicken,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curry Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pernil,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minestrone Soup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baked Plantains,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh Vegetable Saute,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Rice w/ Pinto Beans,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Streusel Brownies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranger Cookies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamarind Glazed Salmon,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Baked Potato Bar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curry Bar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Tso's Chicken,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korean BBQ Tofu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braised Baby Bok Choy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japchae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sticky Rice,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon Delights,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cage Free Boiled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corned Beef Hash,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Toast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini Potato Pancakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omelet Bar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs with American Cheese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan French Toast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Chip Bread,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Lentil Pasta w/ Sundried Tomatoes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumpling Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italian Chicken Sausage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meatball  in Marinara Sauce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan Brats in a Hot Tub,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beef Barley Soup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garlic Shoestring Fries,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sicilian Broccoli,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cherry White Chocolate Cookies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon Shortbread Bars,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon & Herb Grilled Tuna,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lentil & Mushroom Shepherd's Pie,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Memphis Style BBQ Chicken Thighs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourbon & Black Strap Sweet Potatoes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grilled Asparagus w/ Orange Zest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honey Roasted Parsnips & Sweet Potatoes,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Blueberry Pie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian Waffle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breakfast Potatoes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cage Free Boiled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant Based Pancakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs with American Cheese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan French Toast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinnamon Coffee Cake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baked Alaskan Scrod with Lemon & Onions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemony Chicken w/ Artichokes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moroccan Burger,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasta Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swedish Meatballs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Split Pea Soup with Ham,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Buttered Egg Noodles,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farro Risotto,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roasted Zucchini & Peppers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Velvet Cookie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rice Krispie Bars,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackened Cod,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Asado Argentina Strip Loin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navratan (9 Vegetable Curry),0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Baked Potatoes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basmati Rice Pilaf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just Garlic and Green Beans,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mango Salsa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humming Bird Cake,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cage Free Boiled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Toast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini Potato Pancakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omelet Bar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant-Based Breakfast Sausage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sausage Patties,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs with American Cheese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan French Toast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Turnover,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huli Huli Chicken,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fish Taco with Chipotle Cream and Salsa Fresca,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grilled Cheese Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan Sausage w/ Peppers & Onions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Onion Soup,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bombay Potatoes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandarin Basmati Rice,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sauteed Mexican Street Corn,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Strawberry  Blondie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugar Cookies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant Forward Quesadillas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fried Cornmeal Crusted Catfish,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slow Cooked Barbeque Beef Brisket,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creamy Corn With Leeks And Bacon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hush Puppies,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegetarian Dirty Rice,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spicy Remoulade Sauce,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Whoopie Pies,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buttermilk Pancakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cage Free Boiled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Fries,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Omelet Bar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant Based Pancakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs with American Cheese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Chip Muffins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grilled Chicken Bella,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon Tofu,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea Rotini With Tomato and Mozzarella,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Muffuletta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancake Topping Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Noodle Soup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italian Vegetables,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinara Sauce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozzarella Sticks,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherry White Chocolate Cookies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crispy Dijon Scrod,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian Waffle Bar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Bean Burger,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanese Beef Kofta Meatballs,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crush and Fry Potato,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Honey Glazed Carrots,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mujaddara,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coconut Custard Pie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
